state,total_enrolment,national_share_percent,cumulative_share_percent,avg_enrolment,avg_biometric,avg_demographic,avg_bio_to_enrol,system_stress_index,failure_mode
UTTAR PRADESH,557687,21.14057922064236,21.14057922064236,19877.64285714286,203864.8571428572,89318.85714285714,8.727506358611056,0.6776787158929807,Usage Saturation Failure
TAMIL NADU,74674,2.8307125909735165,82.04445576618286,2666.928571428572,94882.10714285714,20485.464285714286,234.9106373330792,0.5331029635032298,Inclusion Friction Failure
MAHARASHTRA,172465,6.537735316204403,47.9917876961766,6155.892857142857,189896.39285714287,58791.96428571428,83.35635717041454,0.5309376416587955,Inclusion Friction Failure
KARNATAKA,97668,3.70236008965907,75.64603090303879,3479.285714285714,58350.607142857145,21730.85714285714,191.51332998843867,0.4252717084191635,Inclusion Friction Failure
MADHYA PRADESH,232899,8.828643593823031,41.4540523799722,8309.17857142857,144364.89285714287,48526.03571428572,11.28453862574531,0.389906460743799,Inclusion Friction Failure
GUJARAT,167099,6.334323100933172,54.32611079710977,5967.821428571428,75629.92857142857,23382.85714285714,83.03124341760804,0.3404324313803061,Inclusion Friction Failure
BIHAR,302969,11.484829565506807,32.625408786149166,9465.851851851852,90657.96296296296,49228.18518518518,7.914619875850248,0.3391706899191436,Usage Saturation Failure
RAJASTHAN,154860,5.870371907734403,66.44558950687133,5527.357142857143,86216.75,27310.39285714286,14.783393583457778,0.2531710374862144,Inclusion Friction Failure
ANDHRA PRADESH,41948,1.590148268020423,93.57666983953332,1613.3846153846157,46812.0,22409.46153846154,87.71133379756344,0.2251781982658258,Inclusion Friction Failure
WEST BENGAL,164851,6.249106802027147,60.57521759913692,5883.214285714285,57313.07142857143,53346.07142857143,14.227665221441072,0.2110910477801845,Inclusion Friction Failure
TELANGANA,53952,2.0451911737445854,88.73067517616613,1926.857142857143,35490.28571428572,20035.53571428572,73.49638622541099,0.1935842733493883,Inclusion Friction Failure
CHHATTISGARH,39731,1.5061071049089212,96.59646557060616,1418.9642857142858,57164.32142857143,32725.714285714286,39.00454183959194,0.1713705279866593,Inclusion Friction Failure
PUNJAB,39931,1.5136886261639055,95.09035846569724,1424.357142857143,38202.75,13082.82142857143,50.53049768546209,0.156911432433017,Inclusion Friction Failure
ASSAM,145039,5.498081306508395,71.94367081337973,5179.964285714285,18984.25,9223.107142857143,26.340801691543867,0.1538403710078092,Inclusion Friction Failure
JAMMU AND KASHMIR,13715,0.5199028200605537,98.48653881947376,507.962962962963,12920.74074074074,5367.888888888889,68.40842636345434,0.1253806696491705,Inclusion Friction Failure
ODISHA,41999,1.592081555940444,91.9865215715129,1668.92,23814.64,8714.8,40.59956305051364,0.1204697778197425,Inclusion Friction Failure
HARYANA,43890,1.6637648394063214,90.39444001557246,1560.357142857143,35892.46428571428,22438.321428571428,18.93587361241762,0.1104764876906777,Inclusion Friction Failure
DELHI,56069,2.125441576228595,86.68548400242155,1994.178571428572,31625.464285714286,31401.214285714286,18.593806576621866,0.1102916589317576,Inclusion Friction Failure
JHARKHAND,66361,2.515586660010091,84.56004242619295,2072.16,23162.8,10736.08,10.36882826395106,0.0908852040809519,Inclusion Friction Failure
KERALA,21678,0.8217610888277567,97.41822665943393,859.9166666666666,6415.416666666667,6814.541666666667,42.10297885524643,0.0820170584940761,Inclusion Friction Failure
MEGHALAYA,94116,3.567712272170548,79.21374317520934,360.2083333333333,398.0416666666667,720.6666666666666,7.066302179454385,0.0655462378424609,Inclusion Friction Failure
UTTARAKHAND,14467,0.5484093399792949,97.9666359994132,516.6785714285714,13204.25,6738.0,24.90580857452835,0.0643004916904995,Inclusion Friction Failure
TRIPURA,4682,0.1774834125791842,99.53199269292983,148.5,1145.4166666666667,1203.9583333333333,38.001745382455056,0.0573970718399143,Inclusion Friction Failure
HIMACHAL PRADESH,5114,0.1938594984899505,99.35450928035064,204.56,3882.08,1414.44,29.098243366069525,0.0494420442269575,Inclusion Friction Failure
GOA,773,0.0293025796505146,99.89624688162556,30.45833333333333,343.2916666666667,344.4583333333333,32.431313596748055,0.0458109666845129,Inclusion Friction Failure
MANIPUR,6517,0.2470438700936659,99.1606497818607,146.30434782608697,2280.695652173913,4575.391304347826,19.1544806738397,0.03349192726802,Inclusion Friction Failure
DAMAN AND DIU,32,0.0012130434007975,99.99723274474196,2.1333333333333333,34.86666666666667,16.6,23.745555555555555,0.0324861629579389,Inclusion Friction Failure
ANDAMAN AND NICOBAR ISLANDS,143,0.0054207876973138,99.98980285391208,6.809523809523809,108.9047619047619,55.38095238095238,22.9302824159967,0.0315117654127761,Inclusion Friction Failure
NAGALAND,11266,0.4270670922932699,98.91360591176704,91.08333333333331,477.7083333333333,309.875,16.525173276099345,0.0296355441486132,Inclusion Friction Failure
DADRA AND NAGAR HAVELI,254,0.0096285319938301,99.97755869708526,11.75,150.85,68.05,16.618132676276254,0.0226515935191186,Inclusion Friction Failure
MIZORAM,3399,0.1288479537284594,99.66084064665829,121.39285714285714,1891.678571428572,400.0357142857143,13.231564037570894,0.0225517674882215,Inclusion Friction Failure
PUDUCHERRY,636,0.0241092375908503,99.94749796530924,27.65217391304348,328.9130434782609,225.2608695652174,15.727874383813184,0.0219024070506923,Inclusion Friction Failure
ANDAMAN & NICOBAR ISLANDS,30,0.0011372281882476,99.9983699729302,2.3076923076923075,24.53846153846154,16.615384615384617,15.007692307692308,0.020016226211734,Inclusion Friction Failure
ORISSA,1306,0.0495073337950479,99.7871866983726,54.41666666666666,403.7916666666667,351.125,11.758316491765257,0.0167685040276921,Inclusion Friction Failure
PONDICHERRY,539,0.0204321997821828,99.96793016509145,24.5,270.1818181818182,88.68181818181819,12.211990081701073,0.0167381034465437,Inclusion Friction Failure
CHANDIGARH,890,0.0337377695846804,99.86694430197504,37.083333333333336,540.125,906.25,10.814602089354985,0.0153979362042617,Inclusion Friction Failure
ARUNACHAL PRADESH,2027,0.0768387179192666,99.73767936457756,67.08695652173913,466.4347826086956,454.1739130434783,8.927449568821132,0.0132677648053201,Inclusion Friction Failure
LAKSHADWEEP,67,0.0025398096204197,99.99234266353248,3.35,16.2,13.1,7.770476190476191,0.0097113441910168,Inclusion Friction Failure
DAMAN & DIU,6,0.0002274456376495,99.99977255436237,1.25,8.5,9.5,7.125,0.0087424607467546,Inclusion Friction Failure
SIKKIM,1214,0.0460198340177551,99.83320653239036,26.39130434782609,108.34782608695652,269.9130434782609,5.747948578861992,0.0076653923668334,Inclusion Friction Failure
DADRA & NAGAR HAVELI,11,0.0004169836690241,99.99878695659922,1.0,4.888888888888889,3.2222222222222223,4.888888888888889,0.0055529844640277,Inclusion Friction Failure
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,55,0.0020849183451207,99.9944275818776,3.055555555555556,7.444444444444445,41.05555555555556,4.288359788359788,0.0047276808643613,Inclusion Friction Failure
JAMMU & KASHMIR,42,0.0015921194635467,99.99601970134115,2.25,4.9375,5.75,2.890625,0.0027239757208918,Inclusion Friction Failure
LADAKH,180,0.0068233691294859,99.98438206621476,8.571428571428571,16.571428571428573,28.857142857142858,2.679943865658151,0.0025252518589261,Inclusion Friction Failure
WEST BANGAL,3,0.0001137228188247,99.99988627718118,1.0,2.0,3.0,2.0,0.0014266807157833,Stable / Monitor
WESTBENGAL,3,0.0001137228188247,100.0,1.0,2.0,2.0,2.0,0.0014266807157833,Stable / Monitor
WEST  BENGAL,10,0.0003790760627492,99.9995451087247,1.0,1.0,2.0,1.0,4.183970372708818e-06,Stable / Monitor
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,716,0.027141846092844,99.9233887277184,,,,,,Stable / Monitor
100000,10,0.0003790760627492,99.99916603266196,,,,,,Stable / Monitor
